open_time,open,high,low,close,volume,close_time,quote,no_trades,base_buy,quote_buy,ignore,date
1.59538E+12,9390,9544,9261,9518.16,48815.00411,1.59546E+12,457776105.6,663029,23362.19379,219166005.9,0,7/22/2020 5:30
1.59546E+12,9518.16,9664,9440.33,9603.27,51856.2335,1.59555E+12,494282948.7,735371,24461.26547,233235064.2,0,7/23/2020 5:30
1.59555E+12,9603.27,9637,9463.44,9537.8,43931.13621,1.59564E+12,419240263.5,677725,20416.29997,194861143.6,0,7/24/2020 5:30
1.59564E+12,9538.1,9732.9,9513,9700.42,40679.54542,1.59572E+12,391431695.7,675222,19626.60889,188907762.8,0,7/25/2020 5:30
1.59572E+12,9700.42,10111,9650,9931.54,65279.26932,1.59581E+12,644607634.5,945611,33748.33181,333445555,0,7/26/2020 5:30
1.59581E+12,9931.54,11394.86,9917.21,11029.96,150188.9331,1.59589E+12,1580355372,1901088,76650.61005,806266386.4,0,7/27/2020 5:30
1.59589E+12,11029.96,11242.23,10565,10906.27,97267.73419,1.59598E+12,1065375500,1475636,46575.43053,510271019,0,7/28/2020 5:30
1.59598E+12,10906.27,11342.82,10812,11100.53,76838.09423,1.59607E+12,853242253.6,1127302,36218.47707,402507227.1,0,7/29/2020 5:30
1.59607E+12,11100.52,11170,10831,11099.61,60794.82646,1.59615E+12,669779541.9,879960,28272.69877,311567992,0,7/30/2020 5:30
1.59615E+12,11099.79,11444,10960,11335.46,70063.66097,1.59624E+12,786344325.9,971584,34068.14337,382632611.4,0,7/31/2020 5:30
1.59624E+12,11335.46,11861,11220,11801.17,85087.48513,1.59633E+12,987817017.3,1174252,40523.73352,470714480,0,8/1/2020 5:30
1.59633E+12,11801.17,12123.46,10518.5,11071.35,97553.0776,1.59641E+12,1105757336,1459900,45974.78642,521934340.8,0,8/2/2020 5:30
1.59641E+12,11071.36,11473,10936,11219.81,56931.84148,1.5965E+12,641127593.3,919185,27133.03514,305554713.9,0,8/3/2020 5:30
1.5965E+12,11219.68,11414.98,11000,11191.97,58629.11371,1.59659E+12,658084242.7,863692,27861.61566,312734273.8,0,8/4/2020 5:30
1.59659E+12,11191.99,11780.93,11093,11744.91,74970.25685,1.59667E+12,861433645.4,964637,36130.38455,415113460.1,0,8/5/2020 5:30
1.59667E+12,11744.91,11900,11562.5,11762.46,63529.08502,1.59676E+12,746479211.7,919918,30044.2033,353083043.8,0,8/6/2020 5:30
1.59676E+12,11762.47,11909.94,11322,11594.23,65755.92602,1.59684E+12,767005529.3,940045,29993.01871,349862123.7,0,8/7/2020 5:30
1.59684E+12,11594.36,11808.27,11512,11761.41,41858.16104,1.59693E+12,489087264.4,779318,20448.35262,238996465.9,0,8/8/2020 5:30
1.59693E+12,11761.02,11797.11,11521.97,11681.68,41493.06734,1.59702E+12,483708602.9,853386,19031.22331,221877538.8,0,8/9/2020 5:30
1.59702E+12,11681.69,12067.35,11450,11892.92,84952.33789,1.5971E+12,1009169063,1340835,42058.72246,499909664.3,0,8/10/2020 5:30
1.5971E+12,11892.9,11935,11125,11392.08,90748.28463,1.59719E+12,1049615697,1343979,41221.96101,476990926.6,0,8/11/2020 5:30
1.59719E+12,11392.09,11617.52,11150,11564.33,64909.61364,1.59728E+12,743303608.1,1104096,30943.67211,354308406,0,8/12/2020 5:30
1.59728E+12,11564.34,11792.96,11270.36,11780,70132.4915,1.59736E+12,809611114.2,1243382,34841.7906,402381474.8,0,8/13/2020 5:30
1.59736E+12,11779.77,11850,11634.03,11760.54,59818.8527,1.59745E+12,702273220.7,1011746,28464.66955,334192256.7,0,8/14/2020 5:30
1.59745E+12,11760.55,11980,11680,11852.4,56237.90505,1.59754E+12,667446824.1,1018956,27303.96632,324138943.4,0,8/15/2020 5:30
1.59754E+12,11852.4,11931.72,11686,11911,41368.23691,1.59762E+12,489731524.6,790240,19342.04531,229032803.4,0,8/16/2020 5:30
1.59762E+12,11910.99,12468,11769.78,12281.13,84734.21154,1.59771E+12,1026883453,1210228,42291.0862,512410754.1,0,8/17/2020 5:30
1.59771E+12,12281.15,12387.77,11817.93,11945.01,75923.83553,1.5978E+12,920402307.2,1189390,35954.34998,436020475.3,0,8/18/2020 5:30
1.5978E+12,11945.1,12020.08,11561,11754.59,73940.16961,1.59788E+12,870612801.5,1258060,34861.13597,410547222.3,0,8/19/2020 5:30
1.59788E+12,11754.38,11888,11668,11853.55,46085.25435,1.59797E+12,543576025,798027,21992.90754,259381062.5,0,8/20/2020 5:30
1.59797E+12,11853.54,11878,11485.81,11531.34,64448.30614,1.59805E+12,755451999.7,1189668,30531.73287,357993659.7,0,8/21/2020 5:30
1.59805E+12,11531.23,11686,11376.81,11662.96,43678.70165,1.59814E+12,504305451.4,809328,21605.07092,249466430.9,0,8/22/2020 5:30
1.59814E+12,11663.51,11718.07,11514.13,11648.13,37900.00469,1.59823E+12,440406018.7,627352,18514.62753,215154211,0,8/23/2020 5:30
1.59823E+12,11648.12,11824.9,11585.09,11748.2,46212.39187,1.59831E+12,542298951.5,656584,22780.41949,267322530.4,0,8/24/2020 5:30
1.59831E+12,11748.19,11767.85,11117.64,11318.42,69590.92327,1.5984E+12,797034671.6,996668,33126.45198,379562265.6,0,8/25/2020 5:30
1.5984E+12,11318.42,11539.32,11244,11461.43,53998.23123,1.59849E+12,615452790,862654,25622.53674,291999409.4,0,8/26/2020 5:30
1.59849E+12,11461.42,11592.2,11125,11330.38,63246.03638,1.59857E+12,717474981.7,959270,30793.18067,349359723.9,0,8/27/2020 5:30
1.59857E+12,11330.38,11542.65,11276.89,11526.91,45953.90837,1.59866E+12,525606229.7,719985,21714.20286,248344753.1,0,8/28/2020 5:30
